fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
290,1002808.00000,1002150015,390.45055,2455.83828,0.15899,1915.00000,269213.00000,76.52364,2100,13.00000,Good,,1,0,0,classification,57 LAIGHT STREET,MN,,C6-2A,TMU,0,-74.00919,40.72189
291,1083247.00000,1008707501,12892.27669,76300.31737,0.16897,1988.00000,152123.00000,273.99000,2100,43.00000,Good,,1,1,0,greenroofs.com,1 IRVING PLACE,MN,,C6-4,US,0,-73.98913,40.73458
292,1088689.00000,1016250016,5808.25443,26433.25060,0.21973,2008.00000,1115182.00000,198.02639,2100,60.00000,Good,,1,0,0,classification,1510 LEXINGTON AVENUE,MN,,C1-8X,,0,-73.95049,40.78705
293,5151735.00000,5000060021,7636.72412,47484.87289,0.16082,2011.00000,1257987.00000,122.26056,2100,84.00000,Good,,1,0,0,classification,22 CENTRAL AVENUE,SI,C,C4-2,SG,0,-74.07732,40.64069
294,1007654.00000,1005000036,832.17545,4343.36676,0.19160,1915.00000,209875.00000,93.09044,2100,19.00000,Good,,1,0,0,classification,131 SPRING STREET,MN,,M1-5A,,0,-74.00057,40.72403
295,2116699.00000,2031200020,5639.14005,17873.18710,0.31551,1905.00000,1108176.00000,40.15977,2100,52.00000,Good,,1,1,0,Visual - pre-classification,2300 SOUTHERN BOULEVARD,BX,C,PARK,,0,-73.87856,40.85475
296,3397613.00000,3022977502,667.84350,9451.05656,0.07066,2007.00000,986749.00000,70.52042,2100,22.00000,Good,,1,0,0,classification,125 NORTH 10 STREET,BK,,M1-2/R6A,MX-8,0,-73.95686,40.72025
297,1012048.00000,1006407501,1127.51389,23742.37825,0.04749,2007.00000,1097747.00000,188.86029,2100,8.00000,Good,,1,0,0,classification,400 WEST 12 STREET,MN,,C1-7A,,0,-74.00916,40.73711
298,3397085.00000,3010947501,633.92947,4251.33320,0.14911,2009.00000,1111089.00000,50.29561,2100,141.00000,Good,,1,1,0,Visual - pre-classification,628 10 STREET,BK,,R6B,,0,-73.98007,40.66510
299,1009217.00000,1005650021,4063.66331,47340.28877,0.08584,1996.00000,263189.00000,259.96000,2100,44.00000,Good,,1,0,0,classification,842 BROADWAY,MN,P,C6-1,US,0,-73.99051,40.73406
300,3189113.00000,3070230015,621.45079,3220.70384,0.19295,1930.00000,281265.00000,28.90000,2100,6.00000,Good,,1,0,0,classification,2820 STILLWELL AVENUE,BK,,R6,,0,-73.98214,40.57860
301,1080667.00000,1008240015,2194.25298,17717.44431,0.12385,1906.00000,198213.00000,143.07289,2100,36.00000,Good,,1,0,0,classification,37 WEST 22 STREET,MN,P,C6-4M,,0,-73.99186,40.74199
